Date,Close,Volume
05/11/2015,17.309999,84848800
04/11/2015,17.01,78551500
03/11/2015,17.18,64536300
02/11/2015,17.059999,56719400
30/10/2015,16.780001,82908900
29/10/2015,17.09,94716600
28/10/2015,17.280001,146133100
27/10/2015,16.4,55829400
26/10/2015,16.51,64744600
23/10/2015,16.52,82062300
22/10/2015,16.16,73688700
21/10/2015,15.9,64440400
20/10/2015,16.200001,50692600
19/10/2015,16.139999,57941800
16/10/2015,16.120001,66791000
15/10/2015,16.190001,126140000
14/10/2015,15.64,121288200
13/10/2015,15.52,72828000
12/10/2015,15.52,50467600
09/10/2015,15.58,76303400
08/10/2015,15.75,78960500
07/10/2015,15.75,66655600
06/10/2015,15.69,66919100
05/10/2015,15.69,74775000
02/10/2015,15.38,181351400
01/10/2015,15.55,71101100
30/09/2015,15.58,71074200
29/09/2015,15.35,79094300
28/09/2015,15.47,86826500
25/09/2015,15.89,88260000
24/09/2015,15.55,97752800
23/09/2015,15.72,77240300
22/09/2015,15.57,91345800
21/09/2015,15.7,60335300
18/09/2015,15.56,135287300
17/09/2015,15.86,116177500
16/09/2015,16.33,82103100
15/09/2015,16.309999,61441500
14/09/2015,15.96,50300000
11/09/2015,16.040001,53996700
10/09/2015,16.040001,66760400
09/09/2015,15.9,69678500
08/09/2015,16.16,73221300
04/09/2015,15.65,104539500
03/09/2015,15.94,77175800
02/09/2015,15.85,74820400
01/09/2015,15.58,119064000
31/08/2015,16.34,66695200
28/08/2015,16.360001,75899300
27/08/2015,16.440001,124185400
26/08/2015,16.059999,174208500
25/08/2015,15.26,194377000
24/08/2015,15.29,214649500
21/08/2015,16.1,148874300
20/08/2015,16.719999,149185400
19/08/2015,17.459999,78540500
18/08/2015,17.690001,50360700
17/08/2015,17.77,42310000
14/08/2015,17.700001,52710300
13/08/2015,17.620001,67456200
12/08/2015,17.52,141600100
11/08/2015,17.790001,65868600
10/08/2015,18.040001,65791200
07/08/2015,17.75,71020700
06/08/2015,17.809999,47594700
05/08/2015,17.870001,65228600
04/08/2015,17.799999,69741500
03/08/2015,17.77,62376800
31/07/2015,17.879999,67176900
30/07/2015,18.129999,65667900
29/07/2015,18.16,96388600
